Territorial,Tipo Estudio,Expediente,Estado,Naturaleza,Clase de empresa,Municipio,Nombre proyecto,Resolución,Descriptor,Fecha resolución
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2022-15,Activo,Jurídica,Privada,Amagá,"diversidad biológica para grupos biológicos de Flora y Fauna (Herpetofauna, Avifauna, Mastofauna e hidrobiologicos) para la elaboración de estudios ambientales",160-RES2207-3863,Por la cual se otorga un permiso,07/06/2022 12:00:00 AM
Cartama,Recursos naturales,Sin radicar,Activo,,,Santa Bárbara,,,,
Hevéxicos,Recursos naturales,HX2-2010-2,Archivado,Jurídica,Privada,Ebéjico,ESTUDIO DE RECURSO HIDRICO,130HX-5001,Por la cual se otorga un permiso de estudio,10/20/2010 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2009-4,Archivado,Jurídica,Privada,Valdivia,"Permiso de Estudio Quebrada el Oro, Veredas Santana Chorrillos, Morrón o Sevilla y Nevado, cotas 1000 a 250 msnm.",130PZ-1110-2004,Por la cual se adopta una decisión,10/18/2011 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-24,Archivado,Jurídica,Pública,Campamento,PROYECTO HIDROELECTRICO TENCHE,160TH-RES1710-5596,Por la cual se otorga un permiso,10/13/2017 12:00:00 AM
Citará,Recursos naturales,CI2-2009-1,Activo,Jurídica,Pública,Jardín,ESTUDIO SOBRE MOSQUITOS VECTORES ASOCIADOS A GUADUA,130CI-1105-7386,Por la cual se adopta una decisión,05/31/2011 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2013-8,Archivado,Jurídica,Pública,Belmira,Regenerómica uso de transcriptómica en mecanismos moleculares implicados en la regeneración de extremidades en dos especies de salamandras colombianas,160-1411-20225,Por la cual se resuelve un recurso de reposición,11/10/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2017-35,Archivado,Jurídica,Pública,Carolina Del Príncipe,HIDROELECTRICA CAROLINA,160-RES2302-602,Por la cual se archiva un expediente,02/21/2023 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-13,Archivado,Jurídica,Privada,Caracolí,GENERACIÓN HIDROELÉCTRICA,130ZF-1412-6911,Por la cual se traspasa un permiso,12/18/2014 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2011-15,Archivado,Jurídica,Privada,Santa Rosa De Osos,"PERMISO DE ESTUDIOS ""PRESA UNO""",130TH-1303-9945,Por la cual se resuelve un recurso de reposición,03/06/2013 12:00:00 AM
