Territorial,Expediente,Estado,Naturaleza,Clase de Empresa,Municipio,Corregimiento,Vereda,Actividad,Resolución,Descriptor,Fecha Resolución
Aburrá Norte,AN6-2008-4,Archivado,Jurídica,Privada,Medellín,Altavista,No registrada,No aplica,160AN-RES1805-2704,Por la cual se otorga un permiso y se toman otras determinaciones,21/05/2018
Panzenú,PZ6-2018-4,Archivado,Jurídica,Privada,Zaragoza,No registrado,Chilona Abajo,Explotación minera,160PZ-RES1905-2767,Por la cual se adopta una decisión,30/05/2019
Panzenú,PZ6-2018-4,Archivado,Jurídica,Privada,Zaragoza,No registrado,Chilona Abajo,Explotación minera,160PZ-RES2110-6948,Por la cual se adopta una decisión,27/10/2021
Aburrá Sur,AS6-2011-3,Archivado,Jurídica,Privada,Caldas,No registrado,La Aguacatala,Industrial,No registra,Por la cual se adopta una decisión,26/04/2012
Aburrá Sur,AS6-2015-2,Activo,Natural,-No aplica-,Itaguí,No registrado,El Ajizal,Industrial,160AS-RES2001-236,Por la cual se otorga un plazo adicional,17/01/2020
Aburrá Norte,AN6-2017-19,Archivado,Jurídica,Privada,Medellín,Altavista,Altavista,Explotación minera,160AN-RES2107-4497,Por la cual se acepta un desistimiento,27/07/2021
Tahamíes,TH6-2015-4,Activo,Jurídica,Privada,San Pedro De Los Milagros,No registrado,No registrada,No aplica,160TH-1603-12524,Por la cual se adopta una decisión,17/03/2016
Aburrá Norte,AN6-2012-1,Archivado,Jurídica,Privada,Bello,No registrado,No registrada,Industrial,160AN-RES1809-5106,Por la cual se impone una medida preventiva,19/09/2018
Cartama,CA6-2017-8,Archivado,Jurídica,Privada,Támesis,No registrado,No registrada,Operación de calderas,160CA-RES1705-2618,Por la cual se otorga un permiso,26/05/2017
Zenufaná,ZF6-2009-13,Archivado,Jurídica,Privada,Yolombó,No registrado,Playa Rica,Quemas abiertas controladas en zonas rurales,130ZF-1401-6366,Por la cual se niega un permiso,14/01/2014
Aburrá Norte,AN6-2006-4,Archivado,Jurídica,Privada,Medellín,San Cristobal,La Loma,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-6199,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,15/02/2007
Zenufaná,ZF6-2009-9,Archivado,Jurídica,Privada,Yolombó,No registrado,La Bengala,Emisiones transitorias (construcciones),130ZF-3772,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,27/11/2009
