Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Aburrá Norte,AN8-2013-44,02/12/2014 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2009-23,08/30/2019 12:00:00 AM,Archivado,Natural,-No aplica-,Caldas,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-1995-38,05/31/1988 12:00:00 AM,Archivado,Natural,-No aplica-,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2018-12,08/26/2021 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2012-23,10/31/2012 12:00:00 AM,Archivado,Natural,-No aplica-,Girardota,Muro contención en concreto,Permanente
Citará,CI8-2010-1,07/22/2010 12:00:00 AM,Archivado,Jurídica,Privada,Ciudad Bolívar,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2006-15,07/30/2007 12:00:00 AM,Archivado,Natural,-No aplica-,La Estrella,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2008-3,08/06/2015 12:00:00 AM,Activo,Natural,-No aplica-,Amagá,Cobertura Circular,Permanente
Cartama,CA8-2012-7,12/18/2015 12:00:00 AM,Activo,Jurídica,Privada,Tarso,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2005-3,07/24/2006 12:00:00 AM,Archivado,Jurídica,Privada,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2020-96,02/23/2021 12:00:00 AM,Archivado,Jurídica,Pública,La Estrella,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2012-6,08/29/2022 12:00:00 AM,Archivado,Jurídica,Privada,Yarumal,Alcantarillado,Permanente
Hevéxicos,HX8-2013-8,03/13/2014 12:00:00 AM,Archivado,Natural,-No aplica-,Sopetrán,Gaviones,Permanente
Aburrá Norte,AN8-2021-125,03/07/2022 12:00:00 AM,Archivado,Natural,-No aplica-,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2016-5,10/07/2016 12:00:00 AM,Archivado,Jurídica,Pública,Fredonia,Gaviones,Permanente
Cartama,CA8-2015-4,07/22/2015 12:00:00 AM,Activo,Jurídica,Privada,Jericó,Puente,Permanente
Aburrá Norte,AN8-2011-34,06/18/2013 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Cartama,CA8-2011-7,02/20/2012 12:00:00 AM,Archivado,Jurídica,Pública,Venecia,Muro contención en concreto,Permanente
Secretaría Ambiental De Envigado,SAE8-2013-24,12/27/2013 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Muro contención en concreto,Permanente
Aburrá Sur,AS8-2007-15,05/10/2017 12:00:00 AM,Archivado,Jurídica,Privada,Sabaneta,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2011-11,05/09/2011 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2018-106,12/28/2018 12:00:00 AM,Archivado,Jurídica,Pública,Valparaíso,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-2020-122,04/22/2024 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura Circular,Permanente
Hevéxicos,HX8-2011-21,09/18/2013 12:00:00 AM,Archivado,Jurídica,Pública,Sopetrán,Puente,Permanente
Panzenú,PZ8-2015-102,06/06/2018 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2012-15,08/28/2014 12:00:00 AM,Archivado,Jurídica,Privada,Itaguí,Cobertura en Cajón,Permanente
Tahamíes,TH8-2020-69,06/10/2021 12:00:00 AM,Activo,Jurídica,Privada,Entrerríos,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2014-74,09/29/2015 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2022-4,11/30/2023 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Provisional
Panzenú,PZ8-2015-38,02/03/2022 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Panzenú,PZ8-2005-5,12/09/2021 12:00:00 AM,Archivado,Jurídica,Pública,Caucasia,Cobertura en Cajón,Permanente
Cartama,CA8-2008-15,12/22/2011 12:00:00 AM,Activo,Natural,-No aplica-,Tarso,Otras Obras y Construcciones,Provisional
Zenufaná,ZF8-2014-17,12/30/2015 12:00:00 AM,Archivado,Jurídica,Privada,Yolombó,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2013-61,12/21/2021 12:00:00 AM,Archivado,Jurídica,Privada,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-45,03/11/2015 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Gaviones,Permanente
