Expediente,Territorial,Municipio,Naturaleza,Tipo_empresa,Producto,Cantidad,Unidades
PZ5-2008-22,Panzenú,Nechí,Natural,-No aplica-,Cortezas,1,1
ZF5-2024-99,Zenufaná,Vegachí,Jurídica,Privada,Astillas,777.600000000000023,m3
PZ5-2008-32,Panzenú,Nechí,Natural,-No aplica-,Cortezas,-1,No registra
AN5-2023-10,Aburrá Norte,Medellín,Jurídica,Publica,Guadua,-1,No registra
PZ5-2007-14,Panzenú,El Bagre,Natural,-No aplica-,Resinas,-1,No registra
CI5-2017-274,Citará,Betania,Natural,-No aplica-,Guadua,1000,unidades
PZ5-2007-28,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,-1,No registra
ZF5-2023-72,Zenufaná,Puerto Berrío,Jurídica,Privada,Frutos,-1,No registra
ZF5-2023-72,Zenufaná,Puerto Berrío,Jurídica,Privada,Frutos,-1,No registra
ZF5-2023-72,Zenufaná,Puerto Berrío,Jurídica,Privada,Frutos,-1,No registra
CA5-2023-136,Cartama,Venecia,Natural,-No aplica-,Guadua,-1,No registra
PZ5-2007-28,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,10000,kilogramos
PZ5-2007-28,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,10000,kilogramos
CI5-2008-7,Citará,Jardín,Natural,-No aplica-,Estipes,7,7
ZF5-2021-167,Zenufaná,Vegachí,Jurídica,Publica,Guadua,-1,No registra
CA5-2011-18,Cartama,Támesis,Natural,-No aplica-,Guadua,-1,No registra
CA5-2011-9,Cartama,Fredonia,Natural,-No aplica-,Cañabrava,0,3000
CA5-2023-160,Cartama,Jericó,Jurídica,Privada,Guadua,-1,No registra
PZ5-2007-3,Panzenú,El Bagre,Natural,-No aplica-,Resinas,2000,kilogramos
CI5-2021-250,Citará,Andes,Natural,-No aplica-,Semillas,13570,13570
CA5-2017-72,Cartama,Pueblorrico,Natural,-No aplica-,Guadua,-1,No registra
ZF5-2018-124,Zenufaná,Maceo,Jurídica,Privada,Semillas,-1,No registra
CI5-2018-347,Citará,Andes,Jurídica,Privada,Cañabrava,4,400
CI5-2018-347,Citará,Andes,Jurídica,Privada,Cañabrava,4,400
PZ5-2007-31,Panzenú,Caucasia,Natural,-No aplica-,Cortezas,-1,No registra
CI5-2010-1,Citará,Andes,Natural,-No aplica-,Cortezas,-1,No registra
PZ5-2015-13,Panzenú,Caucasia,Natural,-No aplica-,Astillas,242,metros cuadrados
CA5-2016-29,Cartama,Jericó,Jurídica,Privada,Astillas,0,m
CI5-2019-58,Citará,Hispania,Jurídica,Privada,Guadua,-1,No registra
CA5-2014-1,Cartama,Jericó,Natural,-No aplica-,Guadua,10000,GUADUAS
CA5-2014-1,Cartama,Jericó,Natural,-No aplica-,Guadua,10000,GUADUAS
CA5-2008-28,Cartama,Fredonia,Natural,-No aplica-,Flores,0,0
CA5-2008-28,Cartama,Fredonia,Natural,-No aplica-,Flores,0,0
CA5-2015-14,Cartama,Támesis,Natural,-No aplica-,Guadua,0,mtrs
CA5-2022-164,Cartama,Venecia,Natural,-No aplica-,Guadua,-1,No registra
CI5-2024-2,Citará,Betania,Natural,-No aplica-,Guadua,4,40
CI5-2021-124,Citará,Betania,Natural,-No aplica-,Guadua,220,20 mts3
CA5-2014-1,Cartama,Jericó,Natural,-No aplica-,Guadua,-1,No registra
CI5-2020-80,Citará,Concordia,Jurídica,Privada,Guadua,-1,No registra
CA5-2024-14,Cartama,La Pintada,Natural,-No aplica-,Guadua,1000,1.000
AN5-2023-10,Aburrá Norte,Medellín,Jurídica,Publica,Guadua,2.5,25
CI5-2017-286,Citará,Betania,Natural,-No aplica-,Guadua,-1,No registra
CA5-2020-106,Cartama,Caramanta,Natural,-No aplica-,Cañabrava,1400,1400
CI5-2023-91,Citará,Hispania,Jurídica,Publica,Guadua,10,100
CI5-2018-347,Citará,Andes,Jurídica,Privada,Guadua,-1,No registra
ZF5-2018-322,Zenufaná,Maceo,Jurídica,Privada,Semillas,-1,No registra
CA5-2013-5,Cartama,Támesis,Natural,-No aplica-,Guadua,4000,GUADUA
CI5-2017-46,Citará,Betulia,Natural,-No aplica-,No registrado,-1,No registra
CA5-2021-276,Cartama,Támesis,Jurídica,Privada,Guadua,3000,unidades
CA5-2018-286,Cartama,Jericó,Jurídica,Privada,Guadua,100,GUADUA
CI5-2008-27,Citará,Betania,Natural,-No aplica-,Estipes,2000,tacos
CA5-2022-164,Cartama,Venecia,Natural,-No aplica-,Guadua,400,metros cubicos
CI5-2017-281,Citará,Concordia,Jurídica,Privada,Guadua,-1,No registra
CI5-2010-1,Citará,Andes,Natural,-No aplica-,Cortezas,0,0
CA5-2017-76,Cartama,Venecia,Jurídica,Privada,Guadua,0,0 0 0 1 1 1 0 1 2 3
CA5-2017-76,Cartama,Venecia,Jurídica,Privada,Guadua,0,0 0 0 1 1 1 0 1 2 3
SAE5-2018-200,Secretaría Ambiental De Envigado,Envigado,Natural,-No aplica-,No registrado,-1,No registra
CA5-2018-286,Cartama,Jericó,Jurídica,Privada,Guadua,-1,No registra
CA5-2014-5,Cartama,Támesis,Natural,-No aplica-,Guadua,-1,No registra
CA5-2016-20,Cartama,Fredonia,Natural,-No aplica-,Astillas,-1,No registra
CA5-2011-4,Cartama,Venecia,Natural,-No aplica-,Guadua,1500,1500
CA5-2011-4,Cartama,Venecia,Natural,-No aplica-,Guadua,1500,1500
ZF5-2021-159,Zenufaná,Yondó,Jurídica,Privada,Guadua,-1,No registra
ZF5-2022-97,Zenufaná,Amalfi,Jurídica,Publica,Guadua,0,170
PZ5-2017-249,Panzenú,Zaragoza,Natural,-No aplica-,Astillas,-1,No registra
CA5-2011-3,Cartama,Valparaíso,Jurídica,-No aplica-,Guadua,0,0
CA5-2014-5,Cartama,Támesis,Natural,-No aplica-,Guadua,3500,GUADUA
CA5-2014-5,Cartama,Támesis,Natural,-No aplica-,Guadua,3500,GUADUA
PZ5-2011-44,Panzenú,Zaragoza,Natural,-No aplica-,Astillas,-1,No registra
AS5-2023-146,Aburrá Sur,Caldas,Jurídica,Privada,Guadua,-1,No registra
CI5-2022-76,Citará,Andes,Natural,-No aplica-,Guadua,-1,No registra
CA5-2023-98,Cartama,Támesis,Jurídica,Privada,Guadua,5000,5000
CA5-2023-98,Cartama,Támesis,Jurídica,Privada,Guadua,5000,5000
CA5-2012-9,Cartama,Jericó,Natural,-No aplica-,Guadua,154.800000000000011,RASTRAS
CA5-2024-10,Cartama,Jericó,Natural,-No aplica-,Guadua,700,700
CA5-2024-17,Cartama,Venecia,Jurídica,Privada,Guadua,30,300
PZ5-2007-15,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,10000,KILOS
PZ5-2007-15,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,10000,KILOS
PZ5-2007-15,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,10000,KILOS
CI5-2013-14,Citará,Andes,Jurídica,-No aplica-,Guadua,-1,No registra
CA5-2009-14,Cartama,Tarso,Natural,-No aplica-,Cortezas,-1,No registra
CA5-2008-35,Cartama,Jericó,Natural,-No aplica-,Estípite,-1,No registra
CI5-2018-163,Citará,Ciudad Bolívar,Natural,-No aplica-,Guadua,-1,No registra
TH5-2023-148,Tahamíes,Santa Rosa De Osos,Jurídica,Privada,Semillas,519,KILOS SEMILLAS
CA5-2025-20,Cartama,Tarso,Natural,-No aplica-,Guadua,-1,No registra
CA5-2011-7,Cartama,Pueblorrico,Natural,-No aplica-,Guadua,-1,No registra
CI5-2019-338,Citará,Betania,Natural,-No aplica-,Guadua,81.200000000000003,33840
CA5-2024-3,Cartama,Támesis,Jurídica,Privada,Guadua,36,36000
CA5-2011-3,Cartama,Valparaíso,Jurídica,-No aplica-,Guadua,-1,No registra
CI5-2025-63,Citará,Jardín,Natural,-No aplica-,Guadua,-1,No registra
