Territorial,Expediente,Naturaleza,Tipo Empresa,Estado,Tipo Proyecto,Municipio
Zenufaná,ZF3-2022-37,Natural,-No aplica-,Archivado,Minería,Amalfi
Zenufaná,ZF3-2022-41,Jurídica,Privada,Activo,Minería,Vegachí
Zenufaná,ZF3-2022-43,Jurídica,Privada,Activo,Minería,Remedios
Zenufaná,ZF3-2022-46,Natural,-No aplica-,Activo,Minería,Segovia
Zenufaná,ZF3-2022-47,Natural,-No aplica-,Activo,Minería,Amalfi
Zenufaná,ZF3-2022-49,Natural,-No aplica-,Activo,Minería,Puerto Berrío
Zenufaná,ZF3-2022-51,Natural,-No aplica-,Activo,Minería,Maceo
Zenufaná,ZF3-2023-1,Natural,-No aplica-,Archivado,Minería,Puerto Nare
Zenufaná,ZF3-2023-10,Jurídica,Privada,Activo,Otros,Yondó
Zenufaná,ZF3-2023-13,Jurídica,Privada,Activo,Minería,Segovia
Zenufaná,ZF3-2023-15,Natural,-No aplica-,Archivado,Minería,Maceo
Zenufaná,ZF3-2023-16,Natural,-No aplica-,Activo,Minería,Remedios
Zenufaná,ZF3-2023-22,Natural,-No aplica-,Activo,Minería,Amalfi
Zenufaná,ZF3-2023-24,Jurídica,Privada,Activo,Minería,Segovia
Zenufaná,ZF3-2023-25,Natural,-No aplica-,Activo,Minería,Amalfi
Zenufaná,ZF3-2023-6,Natural,-No aplica-,Activo,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Segovia
Zenufaná,ZF3-2024-10,Jurídica,Privada,Activo,Minería,Yolombó
Zenufaná,ZF3-2024-12,Natural,-No aplica-,Activo,Minería,Remedios
Zenufaná,ZF3-2024-14,Natural,-No aplica-,Activo,Minería,Maceo
Zenufaná,ZF3-2024-2,Jurídica,Privada,Activo,Construcción y Operación de Centrales Generadoras,Yolombó
Zenufaná,ZF3-2024-4,Jurídica,Pública,Activo,Construcción y operación de rellenos sanitarios,Puerto Nare
Zenufaná,ZF3-2024-8,Jurídica,Privada,Activo,Minería,Puerto Berrío
Zenufaná,ZF3-2024-9,Jurídica,Privada,Activo,Minería,Remedios
